"year","theme_id","theme_name","relative","n_items","source_name","target_name"
1971,418,Gas Station,son,6,"411-Legoland","418-Gas Station"
2004,287,Spider-Man,son,3,"279-4 Juniors","287-Spider-Man"
2018,630,Marvel,son,9,"504-Duplo","630-Marvel"
2001,106,City Center,son,22,"50-Town","106-City Center"
1981,130,Classic Space,son,105,"126-Space","130-Classic Space"
2014,66,Trains,son,37,"52-City","66-Trains"
2010,533,Town,son,36,"507-Educational and Dacta","533-Town"
2015,66,Trains,son,37,"52-City","66-Trains"
1998,188,Black Knights,son,16,"186-Castle","188-Black Knights"
1970,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2010,59,Harbor,son,22,"52-City","59-Harbor"
2017,229,Easter,son,50,"206-Seasonal","229-Easter"
2002,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
1975,424,Western,son,4,"411-Legoland","424-Western"
2009,259,NXT,son,44,"258-Mindstorms","259-NXT"
2003,406,Inventor,son,4,"22-Creator","406-Inventor"
2021,57,Farm,son,21,"52-City","57-Farm"
2011,66,Trains,son,37,"52-City","66-Trains"
1982,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
2004,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
1988,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
2023,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
1991,471,Ferries,son,17,"598-Promotional","471-Ferries"
1999,525,Technic,son,282,"524-Service Packs","525-Technic"
2019,698,UCS,son,7,"697-Batman","698-UCS"
2010,506,Cars,son,21,"754-Disney","506-Cars"
2017,640,Disney Princess,son,19,"754-Disney","640-Disney Princess"
2013,525,Technic,son,282,"524-Service Packs","525-Technic"
1987,525,Technic,son,282,"524-Service Packs","525-Technic"
1996,525,Technic,son,282,"524-Service Packs","525-Technic"
2019,633,Toy Story,son,6,"754-Disney","633-Toy Story"
2012,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
1989,525,Technic,son,282,"524-Service Packs","525-Technic"
2021,698,UCS,son,7,"697-Batman","698-UCS"
1998,212,Classic Basic,son,1,"207-Advent","212-Classic Basic"
2010,208,City,son,21,"207-Advent","208-City"
2023,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
2016,208,City,son,21,"207-Advent","208-City"
